Subject,Start Date,Start Time,End Time
Calculus I*,9/09/2021,8:30 AM,9:45 AM
Community Period,9/09/2021,9:50 AM,10:30 AM
Finance: Portfolio Analysis,9/09/2021,10:30 AM,11:50 AM
Lunch A,9/09/2021,11:55 AM,12:35 PM
Woodworking II*,9/09/2021,12:40 PM,1:55 PM
Free Period (D Block),9/09/2021,2:00 PM,3:15 PM
Calculus I*,9/15/2021,9:00 AM,10:15 AM
Break,9/15/2021,10:15 AM,10:30 AM
Finance: Portfolio Analysis,9/15/2021,10:35 AM,11:50 AM
Lunch A,9/15/2021,11:55 AM,12:35 PM
Woodworking II*,9/15/2021,12:40 PM,1:55 PM
Free Period (D Block),9/15/2021,2:00 PM,3:15 PM
Calculus I*,9/22/2021,9:00 AM,10:15 AM
Break,9/22/2021,10:15 AM,10:30 AM
Finance: Portfolio Analysis,9/22/2021,10:35 AM,11:50 AM
Lunch A,9/22/2021,11:55 AM,12:35 PM
Woodworking II*,9/22/2021,12:40 PM,1:55 PM
Free Period (D Block),9/22/2021,2:00 PM,3:15 PM
Calculus I*,9/28/2021,8:30 AM,9:45 AM
Community Period,9/28/2021,9:50 AM,10:30 AM
Finance: Portfolio Analysis,9/28/2021,10:30 AM,11:50 AM
Lunch A,9/28/2021,11:55 AM,12:35 PM
Woodworking II*,9/28/2021,12:40 PM,1:55 PM
Free Period (D Block),9/28/2021,2:00 PM,3:15 PM
Calculus I*,10/04/2021,8:30 AM,9:45 AM
Community Period,10/04/2021,9:50 AM,10:30 AM
Finance: Portfolio Analysis,10/04/2021,10:30 AM,11:50 AM
Lunch A,10/04/2021,11:55 AM,12:35 PM
Woodworking II*,10/04/2021,12:40 PM,1:55 PM
Free Period (D Block),10/04/2021,2:00 PM,3:15 PM
Calculus I*,10/08/2021,8:30 AM,9:45 AM
Community Period,10/08/2021,9:50 AM,10:30 AM
Finance: Portfolio Analysis,10/08/2021,10:30 AM,11:50 AM
Lunch A,10/08/2021,11:55 AM,12:35 PM
Woodworking II*,10/08/2021,12:40 PM,1:55 PM
Free Period (D Block),10/08/2021,2:00 PM,3:15 PM
Calculus I*,10/15/2021,8:30 AM,9:45 AM
Community Period,10/15/2021,9:50 AM,10:30 AM
Finance: Portfolio Analysis,10/15/2021,10:30 AM,11:50 AM
Lunch A,10/15/2021,11:55 AM,12:35 PM
Woodworking II*,10/15/2021,12:40 PM,1:55 PM
Free Period (D Block),10/15/2021,2:00 PM,3:15 PM
Calculus I*,10/21/2021,8:30 AM,9:45 AM
Community Period,10/21/2021,9:50 AM,10:30 AM
Finance: Portfolio Analysis,10/21/2021,10:30 AM,11:50 AM
Lunch A,10/21/2021,11:55 AM,12:35 PM
Woodworking II*,10/21/2021,12:40 PM,1:55 PM
Free Period (D Block),10/21/2021,2:00 PM,3:15 PM
Calculus I*,10/28/2021,8:30 AM,9:45 AM
Community Period,10/28/2021,9:50 AM,10:30 AM
Finance: Portfolio Analysis,10/28/2021,10:30 AM,11:50 AM
Lunch A,10/28/2021,11:55 AM,12:35 PM
Woodworking II*,10/28/2021,12:40 PM,1:55 PM
Free Period (D Block),10/28/2021,2:00 PM,3:15 PM
Calculus I*,11/03/2021,9:00 AM,10:15 AM
Break,11/03/2021,10:15 AM,10:30 AM
Finance: Portfolio Analysis,11/03/2021,10:35 AM,11:50 AM
Lunch A,11/03/2021,11:55 AM,12:35 PM
